,Country Name,Country Code,2017,2018,2019,2020,2021,2022,mean_gdp
38,Channel Islands,CHI,9530244530.24453,10422948632.4216,10381669645.1366,9811538461.53846,11735662219.7772,,10376412697.823677
39,Chile,CHL,276364936832.331,295402646018.151,278493308134.096,254096103516.324,316713577508.673,301025249437.947,287015970241.2536
40,China,CHN,12310491176727.3,13894907485398.9,14279968485748.0,14687743556969.6,17820459342451.2,17963170521079.8,15159456761395.799
41,Cote d'Ivoire,CIV,52512344033.9625,58522477744.7313,59898479821.1946,62982768371.5174,71811075954.676,70018715016.6967,62624310157.12975
42,Cameroon,CMR,36098547058.7877,39973842058.565,39670976440.3158,40773241211.6941,45338285386.1044,44341646509.2193,41032756444.11438
43,"Congo, Dem. Rep.",COD,38019264804.5125,47568210020.9338,51775829868.7669,48716961864.5378,55350968593.0597,58065953573.3247,49916198120.855896
44,"Congo, Rep.",COG,11094823676.5914,13670038019.8594,12750338736.1661,10483151093.6873,13366230821.3293,14615532210.0523,12663352426.280966
45,Colombia,COL,311866875135.576,334198218100.716,323031701210.767,270150956772.567,318511813576.972,343939445259.487,316949835009.3475
46,Comoros,COM,1077439756.12224,1188797449.96036,1195019531.03671,1225039195.93744,1296089479.45824,1242519407.27821,1204150803.2988665
47,Cabo Verde,CPV,1996741544.61549,2205099509.15921,2266752197.42617,1878277311.2253,2091741774.10772,2314816792.06291,2125571521.4328
48,Costa Rica,CRI,60516044623.4876,62420164964.6987,64417670555.7821,62395610764.0705,64616482167.7475,68380838316.2777,63791135232.01068
49,Caribbean small states,CSS,73482494257.1029,76247249561.2981,77282796215.9198,65994922945.3924,75672802626.7044,92935645972.9574,76935985263.22917
50,Cuba,CUB,96851000000.0,100050000000.0,103428000000.0,107352000000.0,,,101920250000.0
51,Curacao,CUW,3009497206.70391,3020388826.81564,2995185474.86034,2496174748.60335,2699612458.10056,,2844171743.0167603
52,Cayman Islands,CYM,5166281293.18715,5530178498.90783,5941896599.57333,5647224973.03878,6028373541.47434,,5662790981.236287
53,Cyprus,CYP,22946583375.5508,25597301190.678,25945194240.4544,25008266159.2479,28408064462.1856,28439052740.8561,26057410361.49547
54,Czechia,CZE,218628940951.675,249000540729.179,252548179964.897,245974558654.043,281791218507.1,290923534700.518,256477828917.902
55,Germany,DEU,3690849152517.69,3974443355019.53,3888226035921.49,3889668895299.56,4259934911821.64,4072191736089.51,3962552347778.237
56,Djibouti,DJI,2762581334.22612,2913466732.12507,3088853638.56832,3181071153.6622,3372287461.80812,3515109075.46098,3138894899.3084683
57,Dominica,DMA,521551851.851852,554770370.37037,611537037.037037,504214814.814815,555266666.666667,612048148.148148,559898148.1481482
58,Denmark,DNK,332121063806.391,356841216410.068,346498737961.635,355222449505.211,398303272764.46,395403906582.001,364065107838.2943
59,Dominican Republic,DOM,79998045975.5137,85555390385.9812,88941371980.2651,78844655833.2194,94243426487.0833,113641857434.002,90204124682.67746
60,Algeria,DZA,170096989042.831,174910891124.491,171760290068.157,145743722826.258,163472233245.77,191912889420.911,169649502621.403
