"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Congo, Dem. Rep.","COD","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","","3.48258709907532","","2.98507452011108","","5.97014904022217","6.46766185760498","3.8461537361145","6.73076915740967","12.5","12.5","9.61538505554199","8.53080558776855","9.47867298126221","7.51173686981201","7.0422534942627","8.45070457458496","12.3152713775635","12.3152713775635","9.35960578918457","8.3743839263916","7.76699018478394","13.043478012085","14.9758453369141","16.9082126617432","16.9082126617432",
"Congo, Rep.","COG","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","7.96019887924194","","9.45273590087891","","22.3880596160889","24.8756217956543","21.1538467407227","16.3461532592773","13.942307472229","11.5384616851807","15.384614944458","15.1658763885498","16.5876770019531","15.962441444397","15.4929580688477","15.4929580688477","18.2266006469727","21.1822662353516","15.2709360122681","16.2561569213867","15.5339803695679","14.0096616744995","14.4927539825439","14.9758453369141","15.9420289993286",
"Colombia","COL","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","40.2985076904297","","34.825870513916","","37.8109436035156","36.3184089660645","38.9423065185547","38.461540222168","40.8653831481934","42.3076934814453","42.788459777832","42.6540298461914","42.6540298461914","46.948356628418","46.0093879699707","45.5399055480957","47.7832527160645","47.7832527160645","49.7536964416504","49.2610855102539","52.4271850585938","53.6231880187988","53.1400947570801","51.2077293395996","54.5893707275391",
"Comoros","COM","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","39.8009948730469","","17.9104480743408","","40.7960205078125","31.343282699585","33.1730766296387","28.8461532592773","38.9423065185547","34.6153831481934","37.980770111084","36.0189590454102","34.1232223510742","35.2112693786621","34.2723007202148","32.8638496398926","37.9310340881348","36.9458122253418","36.9458122253418","35.9605903625488","32.0388336181641","27.5362319946289","27.0531406402588","28.9855079650879","24.6376819610596",
"Cabo Verde","CPV","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","","73.6318435668945","","72.1393051147461","","69.1542282104492","65.6716384887695","68.75","62.5","72.5961532592773","72.5961532592773","74.5192337036133","73.459716796875","73.9336471557617","76.5258178710938","76.0563354492188","74.1784057617188","74.8768463134766","75.3694610595703","76.8472900390625","77.3399047851563","79.1262130737305","78.260871887207","76.328498840332","76.8115921020508","76.328498840332",
"Costa Rica","CRI","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.5","","84.5771179199219","","82.5870666503906","","83.5820922851563","76.6169128417969","80.7692337036133","72.5961532592773","75.4807662963867","75","76.9230804443359","77.7251205444336","80.568717956543","81.2206573486328","83.5680770874023","83.0985946655273","85.2216720581055","86.2068939208984","84.7290649414063","84.7290649414063","83.4951477050781","84.0579681396484","85.9903411865234","83.0917892456055","82.125602722168",
"Caribbean small states","CSS","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5","","5.97014904022217","","4.97512435913086","","4.47761201858521","1.99004971981049","2.88461542129517","2.88461542129517","2.88461542129517","3.36538457870483","3.8461537361145","4.26540279388428","6.16113758087158","6.1032862663269","6.57277011871338","6.57277011871338","6.40394067764282","6.40394067764282","6.89655160903931","7.38916254043579","9.70873832702637","8.69565200805664","10.1449279785156","11.1111106872559","12.0772943496704",
"Curacao","CUW","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5","","100","","99.0049743652344","","100","76.1194000244141","77.4038467407227","75.4807662963867","72.1153869628906","70.6730804443359","70.1923065185547","64.4549789428711","66.3507080078125","66.1971817016602","65.2582168579102","65.2582168579102","63.0541877746582","62.5615768432617","63.0541877746582","62.0689659118652","63.1067962646484","61.3526573181152","61.835750579834","70.5314025878906","70.5314025878906",
